"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2025","641.36","635.41","642.74","632.98","4.96M","2.28%"
"05/23/2025","627.06","624.00","632.45","622.65","8.45M","-1.49%"
"05/22/2025","636.57","634.05","643.25","630.71","8.23M","0.17%"
"05/21/2025","635.50","631.79","646.61","630.17","11.46M","-0.25%"
"05/20/2025","637.10","636.01","639.35","632.26","6.74M","-0.52%"
"05/19/2025","640.43","628.25","643.00","627.80","9.59M","0.01%"
"05/16/2025","640.34","637.96","640.44","626.15","18.52M","-0.55%"
"05/15/2025","643.88","654.28","657.31","638.58","14.34M","-2.35%"
"05/14/2025","659.36","661.21","662.67","654.31","12.35M","0.51%"
"05/13/2025","656.03","645.54","660.92","642.83","18.57M","2.60%"
"05/12/2025","639.43","630.92","640.39","621.03","21.97M","7.92%"
"05/09/2025","592.49","603.72","606.97","591.71","10.43M","-0.92%"
"05/08/2025","598.01","606.28","611.30","596.62","14.62M","0.20%"
"05/07/2025","596.81","590.36","603.08","586.67","13.16M","1.62%"
"05/06/2025","587.31","592.53","596.03","586.58","10.60M","-2.00%"
"05/05/2025","599.27","591.22","603.21","588.05","13.89M","0.38%"
"05/02/2025","597.02","583.46","604.34","578.33","24.74M","4.34%"
"05/01/2025","572.21","592.08","592.95","570.50","31.16M","4.23%"
"04/30/2025","549.00","538.40","549.10","529.50","29.24M","-0.98%"
"04/29/2025","554.44","546.00","556.57","544.12","11.84M","0.85%"
"04/28/2025","549.74","555.64","558.49","540.59","15.18M","0.45%"
"04/25/2025","547.27","546.80","549.86","536.25","17.10M","2.65%"
"04/24/2025","533.15","518.73","533.90","517.50","13.91M","2.48%"
"04/23/2025","520.27","528.53","535.34","516.52","18.17M","4.00%"
"04/22/2025","500.28","491.87","506.88","486.36","17.40M","3.22%"
"04/21/2025","484.66","491.33","493.50","479.80","16.17M","-3.35%"
"04/17/2025","501.48","505.25","507.30","498.01","14.59M","-0.17%"
"04/16/2025","502.31","508.51","513.37","495.63","18.74M","-3.68%"
"04/15/2025","521.52","532.10","537.94","517.50","15.56M","-1.87%"
"04/14/2025","531.48","556.17","557.77","528.28","14.13M","-2.22%"
"04/11/2025","543.57","535.51","547.40","528.59","17.64M","-0.50%"
"04/10/2025","546.29","575.49","581.30","535.30","28.17M","-6.74%"
"04/09/2025","585.77","509.27","587.89","502.11","39.22M","14.76%"
"04/08/2025","510.45","543.25","547.43","502.86","28.03M","-1.12%"
"04/07/2025","516.25","485.10","539.37","481.90","36.61M","2.28%"
"04/04/2025","504.73","506.62","518.00","494.20","38.59M","-5.06%"
"04/03/2025","531.62","546.22","552.56","530.30","34.78M","-8.96%"
"04/02/2025","583.93","574.91","592.66","573.36","13.47M","-0.35%"
"04/01/2025","586.00","570.84","589.91","570.00","12.84M","1.67%"
