"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","6,541.00","6,205.00","6,568.00","6,168.00","3.99K","5.48%"
"05/29/2025","6,201.00","6,566.00","6,566.00","6,168.00","5.71K","-4.69%"
"05/28/2025","6,506.00","6,592.00","6,615.00","6,325.00","5.64K","-0.85%"
"05/27/2025","6,562.00","6,655.00","6,803.00","6,547.00","4.38K","-1.23%"
"05/23/2025","6,644.00","7,128.00","7,202.00","6,558.00","6.15K","-6.41%"
"05/22/2025","7,099.00","7,452.00","7,452.00","7,040.00","4.74K","-4.75%"
"05/21/2025","7,453.00","7,640.00","7,718.00","7,326.00","4.36K","-2.45%"
"05/20/2025","7,640.00","7,644.00","7,832.00","7,553.00","4.56K","-0.16%"
"05/19/2025","7,652.00","7,674.00","7,680.00","7,262.00","5.81K","-0.96%"
"05/16/2025","7,726.00","7,400.00","7,862.00","7,285.00","6.86K","5.24%"
"05/15/2025","7,341.00","7,047.00","7,368.00","6,975.00","4.77K","3.58%"
"05/14/2025","7,087.00","6,963.00","6,963.00","6,950.00","0.12K","-3.04%"
"05/13/2025","7,309.00","6,786.00","7,259.00","6,724.00","0.29K","8.23%"
"05/12/2025","6,753.00","6,656.00","6,800.00","6,655.00","0.46K","1.23%"
"05/09/2025","6,671.00","6,650.00","6,950.00","6,562.00","0.59K","0.14%"
"05/08/2025","6,662.00","6,975.00","7,025.00","6,412.00","2.02K","-4.21%"
"05/07/2025","6,955.00","6,500.00","6,999.00","6,497.00","1.13K","6.09%"
"05/06/2025","6,556.00","6,160.00","6,540.00","6,160.00","1.33K","3.50%"
"05/02/2025","6,334.00","6,350.00","6,500.00","6,275.00","1.18K","-0.41%"
"05/01/2025","6,360.00","6,430.00","6,482.00","6,279.00","0.85K","-1.76%"
"04/30/2025","6,474.00","6,330.00","6,500.00","6,051.00","1.90K","2.53%"
"04/29/2025","6,314.00","6,299.00","6,500.00","6,211.00","1.92K","0.43%"
"04/28/2025","6,287.00","6,492.00","6,506.00","6,250.00","1.44K","-3.08%"
"04/25/2025","6,487.00","6,365.00","6,500.00","6,299.00","1.39K","1.63%"
"04/24/2025","6,383.00","6,261.00","6,430.00","6,122.00","1.73K","0.93%"
"04/23/2025","6,324.00","6,463.00","6,680.00","6,147.00","2.42K","-2.07%"
"04/22/2025","6,458.00","6,250.00","6,510.00","6,150.00","2.41K","6.16%"
"04/17/2025","6,083.00","5,890.00","6,170.00","5,880.00","2.08K","4.13%"
"04/16/2025","5,842.00","5,818.00","5,892.00","5,689.00","1.80K","0.90%"
"04/15/2025","5,790.00","5,969.00","5,983.00","5,776.00","3.61K","-3.06%"
"04/14/2025","5,973.00","6,194.00","6,284.00","5,938.00","1.54K","-3.82%"
"04/11/2025","6,210.00","5,970.00","6,240.00","5,944.00","1.06K","3.69%"
