"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","33.179","33.585","33.590","33.060","0.21K","-1.16%"
"05/29/2025","33.570","33.140","33.710","33.000","0.37K","1.24%"
"05/28/2025","33.160","33.380","33.580","33.035","41.20K","-0.45%"
"05/27/2025","33.311","33.610","33.745","32.880","60.14K","-0.80%"
"05/26/2025","33.580","33.600","33.743","33.415","14.96K","-0.04%"
"05/25/2025","33.595","33.618","33.710","33.560","44.59K","-0.04%"
"05/23/2025","33.609","33.185","33.695","33.020","46.29K","1.17%"
"05/22/2025","33.219","33.585","33.915","32.740","66.34K","-1.27%"
"05/21/2025","33.646","33.275","33.780","33.125","59.59K","1.42%"
"05/20/2025","33.174","32.500","33.305","32.235","50.29K","2.05%"
"05/19/2025","32.507","32.550","32.795","32.380","33.72K","0.47%"
"05/16/2025","32.354","32.795","32.865","31.980","40.94K","-1.00%"
"05/15/2025","32.680","32.395","32.820","31.780","45.07K","0.73%"
"05/14/2025","32.444","33.085","33.150","32.255","47.79K","-1.98%"
"05/13/2025","33.100","32.800","33.435","32.680","48.17K","1.46%"
"05/12/2025","32.624","32.600","33.200","32.045","61.46K","-0.88%"
"05/09/2025","32.914","32.605","33.040","32.360","32.46K","0.91%"
"05/08/2025","32.617","32.575","33.095","32.370","48.49K","-0.53%"
"05/07/2025","32.791","33.470","33.480","32.415","49.63K","-1.77%"
"05/06/2025","33.381","32.695","33.470","32.625","54.72K","2.79%"
"05/05/2025","32.474","32.250","32.880","32.160","32.79K","0.67%"
"05/02/2025","32.259","32.630","32.975","32.120","40.59K","-0.65%"
"05/01/2025","32.469","32.810","32.865","31.860","43.16K","-1.09%"
"04/30/2025","32.828","33.195","33.345","32.385","53.71K","-2.23%"
"04/29/2025","33.577","33.400","33.835","33.100","52.76K","1.24%"
"04/28/2025","33.165","33.205","33.295","32.780","1.66K","0.47%"
"04/25/2025","33.010","33.550","33.690","32.715","53.15K","-1.47%"
"04/24/2025","33.503","33.565","33.670","33.135","53.16K","-0.13%"
"04/23/2025","33.547","32.450","33.675","32.050","87.82K","1.95%"
"04/22/2025","32.905","32.640","33.170","32.255","91.54K","1.18%"
"04/21/2025","32.521","32.440","33.100","32.385","50.06K","0.16%"
"04/17/2025","32.470","32.770","32.925","32.110","50.11K","-1.55%"
"04/16/2025","32.980","32.305","33.175","32.255","63.04K","2.11%"
"04/15/2025","32.297","32.280","32.425","32.070","38.57K","0.40%"
"04/14/2025","32.167","32.195","32.380","31.655","60.90K","0.81%"
"04/11/2025","31.910","31.115","32.210","30.865","92.34K","3.74%"
"04/10/2025","30.759","30.990","31.245","30.510","80.27K","1.13%"
"04/09/2025","30.415","29.780","31.065","29.255","96.91K","2.46%"
"04/08/2025","29.686","30.090","30.520","29.560","76.83K","0.28%"
"04/07/2025","29.604","29.230","30.760","27.545","138.80K","1.28%"
"04/04/2025","29.230","31.920","32.045","29.115","126.20K","-8.57%"
"04/03/2025","31.970","34.950","34.950","31.730","155.00K","-7.73%"
"04/02/2025","34.650","34.375","35.155","34.290","63.07K","0.99%"
"04/01/2025","34.309","34.770","34.960","34.160","54.48K","-0.87%"
"03/31/2025","34.611","34.825","35.200","34.165","67.10K","-0.58%"
"03/28/2025","34.814","35.325","35.495","34.645","68.62K","-0.26%"
"03/27/2025","34.905","34.050","34.980","33.970","1.02K","2.50%"
"03/26/2025","34.054","34.075","34.335","33.900","0.42K","0.09%"
"03/25/2025","34.023","33.300","34.150","33.300","0.55K","1.71%"
"03/24/2025","33.450","33.540","33.805","33.380","32.35K","-0.11%"
"03/21/2025","33.486","34.115","34.135","33.165","53.51K","-1.49%"
"03/20/2025","33.991","34.425","34.595","33.615","50.53K","-0.63%"
"03/19/2025","34.205","34.640","34.790","34.110","50.63K","-1.76%"
"03/18/2025","34.818","34.380","35.000","34.325","57.45K","1.49%"
"03/17/2025","34.308","34.410","34.455","33.955","45.45K","-0.36%"
"03/14/2025","34.433","34.505","34.860","34.140","60.18K","0.37%"
"03/13/2025","34.306","33.725","34.680","33.435","74.49K","1.67%"
"03/12/2025","33.743","33.375","33.815","33.180","57.66K","1.80%"
"03/11/2025","33.147","32.460","33.445","32.215","57.93K","1.90%"
"03/10/2025","32.530","32.945","33.150","32.280","51.81K","-0.85%"
"03/07/2025","32.809","33.210","33.310","32.560","59.37K","-1.59%"
"03/06/2025","33.338","33.235","33.380","32.860","51.41K","0.62%"
