"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","0.189037","0.192511","0.192511","0.188125","1.02B","-1.80%"
"05/31/2025","0.192504","0.193610","0.195389","0.185761","1.56B","-0.56%"
"05/30/2025","0.193580","0.214958","0.216458","0.190964","2.52B","-9.95%"
"05/29/2025","0.214959","0.220964","0.227805","0.214149","1.24B","-2.72%"
"05/28/2025","0.220965","0.226005","0.227815","0.217019","953.60M","-2.23%"
"05/27/2025","0.226005","0.226002","0.232034","0.219797","1.16B","-0.02%"
"05/26/2025","0.226057","0.224929","0.230274","0.222737","943.00M","0.49%"
"05/25/2025","0.224952","0.225129","0.226434","0.215746","1.25B","-0.08%"
"05/24/2025","0.225128","0.225209","0.230397","0.223809","963.28M","-0.06%"
"05/23/2025","0.225255","0.245550","0.254001","0.223140","3.06B","-8.26%"
"05/22/2025","0.245543","0.234154","0.245640","0.233948","2.33B","4.92%"
"05/21/2025","0.234035","0.226096","0.237863","0.222880","2.67B","3.51%"
"05/20/2025","0.226096","0.224481","0.230621","0.217904","1.57B","0.72%"
"05/19/2025","0.224481","0.233075","0.235471","0.214134","1.85B","-3.78%"
"05/18/2025","0.233290","0.214583","0.237320","0.214143","2.00B","8.73%"
"05/17/2025","0.214563","0.221133","0.222121","0.210926","1.13B","-3.00%"
"05/16/2025","0.221201","0.219352","0.230786","0.218107","1.35B","0.84%"
"05/15/2025","0.219367","0.232753","0.236700","0.214195","2.22B","-5.75%"
"05/14/2025","0.232752","0.240901","0.247424","0.228407","1.74B","-3.38%"
"05/13/2025","0.240903","0.231007","0.242931","0.217606","2.45B","4.28%"
"05/12/2025","0.231026","0.231777","0.252835","0.220876","4.26B","-0.29%"
"05/11/2025","0.231696","0.249646","0.259274","0.222517","3.38B","-7.17%"
"05/10/2025","0.249589","0.205323","0.249689","0.203399","2.93B","21.56%"
"05/09/2025","0.205324","0.198206","0.213798","0.193126","2.73B","3.59%"
"05/08/2025","0.198206","0.172050","0.198206","0.171773","2.25B","15.22%"
"05/07/2025","0.172020","0.172162","0.174379","0.169095","726.15M","-0.08%"
"05/06/2025","0.172161","0.170598","0.172532","0.164343","817.18M","0.92%"
"05/05/2025","0.170596","0.170514","0.174637","0.168335","700.33M","0.05%"
"05/04/2025","0.170516","0.175691","0.177389","0.170057","655.60M","-2.92%"
"05/03/2025","0.175639","0.181532","0.182117","0.175322","629.42M","-3.25%"
"05/02/2025","0.181532","0.180707","0.184205","0.179258","843.01M","0.46%"
"05/01/2025","0.180709","0.172323","0.183361","0.172067","1.10B","4.87%"
"04/30/2025","0.172324","0.174710","0.176577","0.167149","1.07B","-1.37%"
"04/29/2025","0.174711","0.179065","0.180609","0.172590","1.00B","-2.39%"
"04/28/2025","0.178988","0.179329","0.182749","0.173879","1.28B","-0.15%"
"04/27/2025","0.179253","0.181822","0.183322","0.176819","997.52M","-1.41%"
"04/26/2025","0.181822","0.181633","0.192817","0.180195","1.47B","0.07%"
"04/25/2025","0.181690","0.182538","0.186037","0.177555","1.70B","-0.42%"
