"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","2.1420","2.1738","2.1788","2.1420","204.22M","-1.46%"
"05/31/2025","2.1738","2.1412","2.2054","2.0814","308.45M","1.61%"
"05/30/2025","2.1394","2.2446","2.2518","2.1328","503.88M","-4.69%"
"05/29/2025","2.2446","2.2746","2.3110","2.2390","278.23M","-1.32%"
"05/28/2025","2.2746","2.3170","2.3224","2.2290","286.53M","-1.83%"
"05/27/2025","2.3170","2.3107","2.3539","2.2695","266.93M","0.27%"
"05/26/2025","2.3108","2.3423","2.3586","2.2965","216.04M","-1.34%"
"05/25/2025","2.3422","2.3305","2.3442","2.2673","239.35M","0.50%"
"05/24/2025","2.3305","2.2964","2.3595","2.2882","161.91M","1.49%"
"05/23/2025","2.2964","2.4314","2.4797","2.2857","533.03M","-5.56%"
"05/22/2025","2.4315","2.3955","2.4537","2.3907","379.42M","1.50%"
"05/21/2025","2.3955","2.3563","2.4287","2.3319","436.84M","1.66%"
"05/20/2025","2.3563","2.3805","2.4084","2.3152","340.24M","-1.02%"
"05/19/2025","2.3805","2.4291","2.4385","2.2852","415.38M","-2.01%"
"05/18/2025","2.4294","2.3534","2.4474","2.3363","295.68M","3.23%"
"05/17/2025","2.3534","2.3797","2.3888","2.3001","298.18M","-1.11%"
"05/16/2025","2.3797","2.3852","2.4390","2.3491","377.92M","-0.23%"
"05/15/2025","2.3851","2.5506","2.5709","2.3552","544.73M","-6.49%"
"05/14/2025","2.5508","2.5826","2.6483","2.5205","529.13M","-1.25%"
"05/13/2025","2.5831","2.5462","2.6053","2.4255","606.65M","1.44%"
"05/12/2025","2.5465","2.3654","2.6508","2.3538","1.19B","7.57%"
"05/11/2025","2.3672","2.4636","2.4815","2.3298","431.81M","-4.19%"
"05/10/2025","2.4708","2.3438","2.4754","2.3373","476.97M","5.42%"
"05/09/2025","2.3438","2.3267","2.4286","2.2880","717.66M","0.73%"
"05/08/2025","2.3268","2.1263","2.3269","2.1179","607.43M","9.42%"
"05/07/2025","2.1264","2.1546","2.1712","2.1061","272.72M","-1.30%"
"05/06/2025","2.1544","2.1316","2.1589","2.0784","332.10M","1.05%"
"05/05/2025","2.1321","2.1564","2.1950","2.1077","366.03M","-1.14%"
"05/04/2025","2.1566","2.1879","2.2178","2.1515","191.18M","-1.43%"
"05/03/2025","2.1879","2.2091","2.2197","2.1775","160.58M","-0.96%"
"05/02/2025","2.2092","2.2128","2.2397","2.1932","278.80M","-0.16%"
"05/01/2025","2.2128","2.1909","2.2551","2.1884","294.23M","1.00%"
"04/30/2025","2.1910","2.2383","2.2586","2.1268","472.41M","-2.12%"
"04/29/2025","2.2383","2.2946","2.3141","2.2222","337.43M","-2.45%"
"04/28/2025","2.2946","2.2498","2.3537","2.2203","530.09M","1.89%"
"04/27/2025","2.2521","2.1910","2.2925","2.1604","468.69M","2.79%"
"04/26/2025","2.1910","2.1815","2.2471","2.1803","254.11M","0.44%"
"04/25/2025","2.1815","2.2054","2.2182","2.1651","385.53M","-1.08%"
"04/24/2025","2.2053","2.2187","2.2276","2.1206","521.16M","-0.60%"
"04/23/2025","2.2187","2.2132","2.3002","2.1923","641.97M","0.26%"
"04/22/2025","2.2129","2.0855","2.2476","2.0658","580.85M","6.11%"
"04/21/2025","2.0855","2.0786","2.1400","2.0604","372.83M","0.33%"
"04/20/2025","2.0786","2.0870","2.0940","2.0402","223.97M","-0.41%"
"04/19/2025","2.0870","2.0620","2.0972","2.0587","164.10M","1.21%"
"04/18/2025","2.0621","2.0669","2.0886","2.0445","232.83M","-0.23%"
