"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","137,027","138,546","138,637","136,726","15.14B","-1.09%"
"05/29/2025","138,534","138,869","139,108","137,993","8.83B","-0.25%"
"05/28/2025","138,888","139,541","139,547","138,580","9.73B","-0.47%"
"05/27/2025","139,541","138,136","140,382","138,136","11.19B","1.02%"
"05/26/2025","138,136","137,824","138,800","137,795","5.55B","0.23%"
"05/23/2025","137,824","137,273","137,824","134,997","10.68B","0.40%"
"05/22/2025","137,273","137,881","138,837","137,088","13.22B","-0.44%"
"05/21/2025","137,881","140,109","140,109","137,538","10.15B","-1.59%"
"05/20/2025","140,110","139,636","140,244","138,966","9.65B","0.34%"
"05/19/2025","139,636","139,186","140,203","138,587","9.59B","0.32%"
"05/16/2025","139,187","139,335","139,335","137,713","12.11B","-0.11%"
"05/15/2025","139,334","138,425","139,408","138,321","11.50B","0.66%"
"05/14/2025","138,423","138,965","139,362","138,228","11.16B","-0.39%"
"05/13/2025","138,963","136,565","139,419","136,550","13.07B","1.76%"
"05/12/2025","136,563","136,516","137,519","136,356","10.92B","0.04%"
"05/09/2025","136,512","136,232","137,286","136,105","13.88B","0.21%"
"05/08/2025","136,232","133,458","137,635","133,458","17.20B","2.12%"
"05/07/2025","133,398","133,517","134,110","132,872","9.94B","-0.09%"
"05/06/2025","133,516","133,499","134,135","133,260","11.14B","0.02%"
"05/05/2025","133,491","135,131","135,198","133,390","10.80B","-1.22%"
"05/02/2025","135,134","135,067","135,275","134,355","12.74B","0.05%"
