"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","44.11","44.19","44.36","43.80","121.26K","0.25%"
"05/29/2025","44.00","44.09","44.19","43.79","151.82K","0.16%"
"05/28/2025","43.93","44.15","44.27","43.83","143.00K","-1.17%"
"05/27/2025","44.45","44.49","44.60","44.30","193.15K","2.66%"
"05/23/2025","43.30","43.15","43.55","42.95","249.94K","-1.23%"
"05/22/2025","43.84","43.80","43.92","43.60","232.39K","0.06%"
"05/21/2025","43.81","44.18","44.44","43.61","318.65K","-0.06%"
"05/20/2025","43.84","43.74","43.89","43.63","212.18K","0.34%"
"05/19/2025","43.69","43.28","43.71","43.11","224.05K","1.87%"
"05/16/2025","42.89","42.87","42.90","42.61","108.63K","-0.07%"
"05/15/2025","42.92","42.75","42.92","42.53","112.75K","1.18%"
"05/14/2025","42.42","42.80","42.86","42.30","110.45K","-0.54%"
"05/13/2025","42.65","42.60","42.85","42.44","92.83K","0.64%"
"05/12/2025","42.38","42.37","42.42","41.90","262.00K","-1.04%"
"05/09/2025","42.83","42.79","42.99","42.70","86.03K","0.72%"
"05/08/2025","42.52","42.73","42.84","42.43","117.76K","0.40%"
"05/07/2025","42.35","42.59","42.73","42.31","121.62K","-0.87%"
"05/06/2025","42.72","42.60","42.82","42.54","169.04K","-0.21%"
"05/05/2025","42.81","42.85","42.98","42.75","279.01K","1.13%"
"05/02/2025","42.33","42.30","42.50","42.16","254.43K","2.10%"
"05/01/2025","41.46","41.74","41.94","41.38","108.72K","-0.12%"
"04/30/2025","41.51","41.24","41.65","40.94","124.38K","-0.10%"
"04/29/2025","41.55","41.37","41.65","41.34","142.97K","0.46%"
"04/28/2025","41.36","41.41","41.48","41.01","218.90K","0.41%"
"04/25/2025","41.19","40.99","41.27","40.80","87.21K","0.68%"
"04/24/2025","40.91","40.66","40.96","40.38","132.71K","1.44%"
"04/23/2025","40.33","40.28","40.60","40.05","124.76K","1.51%"
"04/22/2025","39.73","39.30","39.80","39.14","205.93K","2.50%"
"04/21/2025","38.76","39.28","39.55","38.38","204.32K","-0.87%"
"04/17/2025","39.10","39.12","39.36","38.95","242.37K","0.31%"
"04/16/2025","38.98","38.89","39.23","38.80","190.39K","0.31%"
"04/15/2025","38.86","38.76","39.00","38.64","195.24K","0.70%"
"04/14/2025","38.59","38.34","38.77","38.28","228.09K","1.37%"
