"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","42,270.07","42,192.35","42,376.08","41,906.16","801.68M","0.13%"
"05/29/2025","42,215.73","42,190.02","42,266.00","41,828.35","665.31M","0.28%"
"05/28/2025","42,098.70","42,361.63","42,448.72","42,042.26","518.84M","-0.58%"
"05/27/2025","42,343.65","41,849.04","42,350.66","41,849.04","501.34M","1.78%"
"05/23/2025","41,603.07","41,525.70","41,788.61","41,354.09","497.07M","-0.61%"
"05/22/2025","41,859.09","41,763.68","42,090.42","41,714.43","476.08M","0.00%"
"05/21/2025","41,860.44","42,354.46","42,439.27","41,785.22","607.90M","-1.91%"
"05/20/2025","42,677.24","42,735.11","42,800.04","42,485.37","441.54M","-0.27%"
"05/19/2025","42,792.07","42,542.81","42,842.04","42,337.71","536.84M","0.32%"
"05/16/2025","42,654.74","42,356.20","42,663.68","42,232.56","621.26M","0.78%"
"05/15/2025","42,322.75","41,777.98","42,351.42","41,777.98","736.43M","0.65%"
"05/14/2025","42,051.06","42,150.09","42,254.75","41,952.86","660.23M","-0.21%"
"05/13/2025","42,140.43","42,507.33","42,507.33","42,132.04","729.87M","-0.64%"
"05/12/2025","42,410.10","41,899.05","42,418.05","41,899.05","653.82M","2.81%"
"05/09/2025","41,249.38","41,405.48","41,512.43","41,150.73","373.94M","-0.29%"
"05/08/2025","41,368.45","41,312.57","41,773.22","41,167.76","514.86M","0.62%"
"05/07/2025","41,113.97","40,956.08","41,266.91","40,829.29","533.87M","0.70%"
"05/06/2025","40,829.00","41,000.19","41,164.33","40,759.41","416.11M","-0.95%"
"05/05/2025","41,218.83","41,173.38","41,445.91","41,063.44","418.69M","-0.24%"
"05/02/2025","41,317.43","40,960.42","41,386.19","40,960.42","589.87M","1.39%"
"05/01/2025","40,752.96","40,918.04","41,099.52","40,705.63","597.28M","0.21%"
"04/30/2025","40,669.36","40,290.41","40,777.16","39,745.63","609.37M","0.35%"
"04/29/2025","40,527.62","40,233.98","40,630.49","40,222.18","434.83M","0.75%"
"04/28/2025","40,227.59","40,171.74","40,414.18","39,869.10","479.41M","0.28%"
"04/25/2025","40,113.50","40,045.73","40,137.31","39,718.68","559.05M","0.05%"
"04/24/2025","40,093.40","39,531.05","40,157.91","39,371.87","558.13M","1.23%"
"04/23/2025","39,606.57","39,815.01","40,376.11","39,487.14","642.55M","1.07%"
"04/22/2025","39,186.98","38,516.23","39,272.03","38,516.23","582.33M","2.66%"
"04/21/2025","38,170.41","38,906.04","38,906.04","37,830.66","620.88M","-2.48%"
"04/17/2025","39,142.23","39,745.58","39,745.58","38,950.31","657.41M","-1.33%"
