"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","8,772.38","8,716.45","8,790.45","8,715.64","1.74B","0.64%"
"05/29/2025","8,716.45","8,726.01","8,776.27","8,709.11","971.24M","-0.11%"
"05/28/2025","8,726.01","8,778.05","8,799.77","8,726.01","807.57M","-0.59%"
"05/27/2025","8,778.05","8,717.97","8,824.00","8,717.97","836.74M","0.69%"
"05/23/2025","8,717.97","8,739.26","8,779.36","8,604.80","1.04B","-0.24%"
"05/22/2025","8,739.26","8,786.46","8,786.46","8,689.44","815.29M","-0.54%"
"05/21/2025","8,786.46","8,781.12","8,798.46","8,761.95","918.42M","0.06%"
"05/20/2025","8,781.12","8,699.31","8,789.43","8,698.05","949.85M","0.94%"
"05/19/2025","8,699.31","8,684.56","8,699.31","8,613.47","889.62M","0.17%"
"05/16/2025","8,684.56","8,633.75","8,697.00","8,633.63","948.31M","0.59%"
"05/15/2025","8,633.75","8,585.01","8,634.56","8,531.06","1.22B","0.57%"
"05/14/2025","8,585.01","8,602.92","8,616.13","8,558.24","855.91M","-0.21%"
"05/13/2025","8,602.92","8,604.98","8,623.78","8,583.92","685.43M","-0.02%"
"05/12/2025","8,604.98","8,554.80","8,646.32","8,546.25","804.04M","0.59%"
"05/09/2025","8,554.80","8,531.61","8,581.53","8,531.61","690.73M","0.27%"
"05/08/2025","8,531.61","8,559.33","8,607.71","8,514.04","884.33M","-0.32%"
"05/07/2025","8,559.33","8,597.42","8,599.95","8,533.57","1.27B","-0.44%"
"05/06/2025","8,597.42","8,596.35","8,641.68","8,569.11","980.01M","0.01%"
"05/02/2025","8,596.35","8,496.80","8,622.14","8,496.80","908.35M","1.17%"
"05/01/2025","8,496.80","8,494.85","8,505.28","8,468.26","527.54M","0.02%"
"04/30/2025","8,494.85","8,463.46","8,494.85","8,430.48","1.57B","0.37%"
"04/29/2025","8,463.46","8,417.34","8,470.40","8,404.10","654.78M","0.55%"
"04/28/2025","8,417.34","8,415.25","8,452.62","8,415.24","714.11M","0.02%"
"04/25/2025","8,415.25","8,407.44","8,442.65","8,397.07","785.91M","0.09%"
"04/24/2025","8,407.44","8,403.18","8,415.12","8,361.79","1.08B","0.05%"
"04/23/2025","8,403.18","8,328.60","8,467.79","8,328.31","1.03B","0.90%"
"04/22/2025","8,328.60","8,275.66","8,337.67","8,262.49","981.69M","0.64%"
"04/17/2025","8,275.66","8,275.60","8,295.07","8,195.66","735.76M","0.00%"
"04/16/2025","8,275.60","8,249.12","8,281.09","8,177.04","803.86M","0.32%"
"04/15/2025","8,249.12","8,134.34","8,257.77","8,134.01","830.47M","1.41%"
"04/14/2025","8,134.34","7,964.18","8,160.21","7,964.18","711.69M","2.14%"
"04/11/2025","7,964.18","7,913.25","8,000.78","7,862.72","1.17B","0.64%"
"04/10/2025","7,913.25","7,679.48","8,166.53","7,679.48","1.43B","3.04%"
"04/09/2025","7,679.48","7,910.53","7,910.53","7,599.56","1.35B","-2.92%"
"04/08/2025","7,910.53","7,702.08","7,984.19","7,702.08","1.34B","2.71%"
"04/07/2025","7,702.08","8,054.98","8,054.98","7,544.83","2.00B","-4.38%"
"04/04/2025","8,054.98","8,474.74","8,474.74","8,023.45","1.57B","-4.95%"
"04/03/2025","8,474.74","8,608.48","8,608.48","8,453.22","1.40B","-1.55%"
"04/02/2025","8,608.48","8,634.80","8,634.80","8,548.32","600.63M","-0.30%"
