"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","7,388.45","7,407.62","7,433.50","7,388.45","172.07M","0.17%"
"05/29/2025","7,375.80","7,397.34","7,402.25","7,350.54","63.55M","0.20%"
"05/28/2025","7,361.14","7,387.51","7,402.79","7,352.77","95.91M","-0.13%"
"05/27/2025","7,370.95","7,372.98","7,373.92","7,326.59","103.61M","-0.02%"
"05/26/2025","7,372.78","7,348.73","7,378.64","7,338.14","109.64M","0.57%"
"05/23/2025","7,330.90","7,381.68","7,385.03","7,237.89","170.15M","-0.61%"
"05/22/2025","7,375.78","7,312.03","7,399.98","7,299.44","223.42M","0.25%"
"05/21/2025","7,357.57","7,387.87","7,389.41","7,315.13","102.74M","-0.26%"
"05/20/2025","7,376.68","7,299.98","7,376.68","7,287.70","97.91M","1.75%"
"05/19/2025","7,249.88","7,219.55","7,256.41","7,149.54","105.19M","0.19%"
"05/16/2025","7,235.99","7,244.53","7,256.16","7,213.94","94.05M","0.61%"
"05/15/2025","7,191.82","7,153.37","7,192.07","7,099.59","90.45M","0.21%"
"05/14/2025","7,176.41","7,188.04","7,213.59","7,149.30","189.07M","-0.19%"
"05/13/2025","7,190.07","7,164.53","7,263.82","7,155.63","99.41M","1.11%"
"05/12/2025","7,110.83","7,028.58","7,110.83","6,964.48","139.53M","1.76%"
"05/09/2025","6,988.05","7,067.09","7,070.17","6,988.05","129.12M","-0.52%"
"05/08/2025","7,024.31","7,051.11","7,077.47","7,022.70","103.42M","0.04%"
"05/07/2025","7,021.62","7,001.17","7,036.72","6,973.04","124.99M","0.19%"
"05/06/2025","7,008.54","7,015.19","7,030.96","6,984.30","95.92M","0.13%"
"05/05/2025","6,999.68","6,968.64","7,026.70","6,954.25","77.31M","0.49%"
"05/02/2025","6,965.57","6,945.20","6,985.62","6,916.09","188.54M","-0.38%"
"04/30/2025","6,992.34","6,972.78","6,996.88","6,939.29","109.96M","0.36%"
"04/29/2025","6,967.27","6,893.10","6,991.89","6,893.10","135.68M","1.37%"
"04/28/2025","6,872.80","6,949.98","6,952.36","6,849.76","96.08M","-1.01%"
"04/25/2025","6,942.73","6,896.23","6,957.11","6,874.23","82.59M","0.93%"
"04/24/2025","6,878.47","6,842.55","6,902.85","6,839.88","85.31M","0.61%"
"04/23/2025","6,836.79","6,872.77","6,878.46","6,821.81","122.42M","0.10%"
"04/22/2025","6,830.25","6,713.52","6,830.25","6,703.43","67.25M","1.40%"
"04/17/2025","6,735.84","6,730.26","6,751.46","6,711.86","85.47M","-0.15%"
"04/16/2025","6,745.91","6,681.52","6,745.91","6,672.39","143.57M","0.59%"
"04/15/2025","6,706.09","6,589.70","6,711.71","6,589.70","148.50M","1.87%"
"04/14/2025","6,582.73","6,606.07","6,618.70","6,560.88","96.32M","0.95%"
"04/11/2025","6,520.48","6,469.44","6,567.40","6,437.26","110.58M","1.81%"
"04/10/2025","6,404.79","6,581.79","6,620.06","6,404.79","138.54M","2.41%"
"04/09/2025","6,253.96","6,325.72","6,326.17","6,213.32","102.74M","-2.85%"
"04/08/2025","6,437.75","6,356.06","6,491.97","6,281.75","134.87M","2.80%"
"04/07/2025","6,262.28","6,286.68","6,461.63","6,194.45","193.19M","-5.63%"
"04/04/2025","6,635.79","6,950.70","6,951.49","6,581.25","199.44M","-4.75%"
"04/03/2025","6,967.03","6,881.03","7,026.93","6,881.03","170.42M","0.13%"
"04/02/2025","6,958.00","6,906.33","6,961.87","6,906.33","81.16M","0.11%"
"04/01/2025","6,950.65","6,895.70","6,950.65","6,879.72","81.92M","1.24%"
"03/31/2025","6,865.62","6,931.19","6,931.19","6,841.18","91.23M","-1.23%"
"03/28/2025","6,950.96","6,887.26","6,951.90","6,883.62","103.22M","0.75%"
"03/27/2025","6,899.41","6,854.89","6,905.40","6,854.40","84.58M","0.18%"
"03/26/2025","6,887.17","6,845.27","6,904.18","6,837.67","78.19M","0.80%"
"03/25/2025","6,832.19","6,808.52","6,868.86","6,807.22","129.36M","0.86%"
"03/24/2025","6,773.88","6,835.43","6,861.11","6,770.20","69.42M","-0.35%"
"03/21/2025","6,797.55","6,857.45","6,892.36","6,796.54","228.06M","-0.92%"
"03/20/2025","6,860.96","6,925.09","6,938.29","6,811.58","149.51M","-0.61%"
"03/19/2025","6,902.95","6,909.11","6,921.04","6,871.72","78.73M","-0.33%"
"03/18/2025","6,925.86","6,875.49","6,931.28","6,861.78","109.06M","1.07%"
"03/17/2025","6,852.26","6,789.36","6,852.26","6,788.77","82.79M","1.20%"
"03/14/2025","6,771.09","6,732.15","6,779.92","6,695.87","112.80M","0.73%"
"03/13/2025","6,722.00","6,723.96","6,770.62","6,691.29","69.76M","-0.61%"
"03/12/2025","6,763.06","6,739.87","6,771.93","6,708.01","108.83M","0.36%"
"03/11/2025","6,738.91","6,757.32","6,784.03","6,714.53","91.78M","-0.01%"
"03/10/2025","6,739.83","6,827.42","6,827.42","6,738.69","118.76M","-1.19%"
"03/07/2025","6,820.82","6,722.86","6,828.20","6,701.35","128.80M","1.95%"
"03/06/2025","6,690.48","6,743.47","6,749.28","6,655.99","106.14M","-0.64%"
"03/05/2025","6,733.34","6,723.39","6,803.56","6,716.63","111.40M","0.49%"
"03/04/2025","6,700.33","6,802.29","6,804.91","6,690.76","105.83M","-1.64%"
"03/03/2025","6,811.94","6,793.16","6,846.56","6,734.69","92.49M","0.17%"
"02/28/2025","6,800.10","6,822.36","6,835.00","6,757.32","199.21M","-0.64%"
"02/27/2025","6,843.56","6,923.19","6,927.38","6,821.46","196.08M","-2.07%"
"02/26/2025","6,988.33","6,944.76","6,990.23","6,902.05","128.54M","1.00%"
"02/25/2025","6,918.99","6,892.34","6,953.74","6,886.95","137.26M","1.47%"
"02/24/2025","6,819.07","6,717.25","6,850.85","6,716.59","105.05M","1.62%"
"02/21/2025","6,710.65","6,693.29","6,712.78","6,689.94","73.53M","0.38%"
"02/20/2025","6,685.33","6,701.79","6,704.95","6,669.43","47.86M","0.16%"
"02/19/2025","6,674.71","6,712.09","6,735.32","6,667.40","84.36M","-0.19%"
"02/18/2025","6,687.69","6,618.91","6,692.23","6,608.45","78.98M","0.97%"
"02/17/2025","6,623.32","6,691.11","6,695.51","6,619.86","86.88M","-0.46%"
"02/14/2025","6,654.08","6,598.74","6,693.42","6,598.74","165.80M","1.04%"
"02/13/2025","6,585.88","6,554.26","6,597.87","6,534.10","105.12M","0.89%"
"02/12/2025","6,528.05","6,576.89","6,582.70","6,519.58","80.97M","-0.53%"
"02/11/2025","6,562.85","6,555.70","6,592.62","6,543.03","64.27M","-0.01%"
"02/10/2025","6,563.58","6,529.64","6,564.42","6,522.97","56.51M","0.83%"
"02/07/2025","6,509.74","6,529.06","6,556.38","6,501.65","63.27M","-0.38%"
"02/06/2025","6,534.46","6,540.43","6,588.55","6,530.27","71.74M","0.05%"
"02/05/2025","6,531.46","6,539.84","6,548.06","6,511.18","71.40M","0.22%"
"02/04/2025","6,516.90","6,485.35","6,524.34","6,466.87","58.71M","0.78%"
"02/03/2025","6,466.51","6,431.20","6,496.64","6,431.20","76.73M","-0.89%"
"01/31/2025","6,524.29","6,532.47","6,554.61","6,515.72","48.84M","-0.16%"
"01/30/2025","6,534.94","6,542.04","6,556.87","6,511.46","62.43M","0.07%"
"01/29/2025","6,530.55","6,506.77","6,549.81","6,469.77","65.34M","0.62%"
"01/28/2025","6,490.33","6,457.77","6,531.33","6,457.77","57.50M","0.37%"
"01/27/2025","6,466.44","6,474.17","6,530.61","6,464.50","90.58M","-0.57%"
"01/24/2025","6,503.73","6,551.36","6,562.60","6,490.60","85.25M","-0.25%"
"01/23/2025","6,520.19","6,490.77","6,531.12","6,488.75","91.38M","0.23%"
"01/22/2025","6,505.51","6,579.96","6,593.07","6,497.34","97.29M","-0.96%"
"01/21/2025","6,568.78","6,561.22","6,569.70","6,527.79","101.26M","-0.23%"
"01/20/2025","6,583.91","6,566.82","6,596.31","6,542.93","84.36M","0.31%"
"01/17/2025","6,563.75","6,524.63","6,588.78","6,518.82","94.38M","1.07%"
"01/16/2025","6,494.27","6,483.28","6,494.27","6,459.51","92.97M","0.55%"
"01/15/2025","6,458.99","6,425.00","6,464.93","6,393.59","97.57M","1.29%"
"01/14/2025","6,376.82","6,339.42","6,376.82","6,328.97","73.14M","0.73%"
"01/13/2025","6,330.65","6,303.46","6,352.36","6,302.97","67.60M","0.49%"
"01/10/2025","6,299.98","6,359.11","6,380.98","6,299.98","78.06M","-1.53%"
"01/09/2025","6,397.95","6,354.01","6,402.18","6,327.18","75.08M","0.42%"
"01/08/2025","6,371.45","6,402.33","6,422.04","6,326.11","222.90M","-0.46%"
"01/07/2025","6,401.09","6,427.11","6,438.79","6,385.42","144.88M","-0.53%"
"01/06/2025","6,435.22","6,457.22","6,467.66","6,389.77","114.77M","-0.15%"
"01/03/2025","6,444.69","6,413.67","6,460.69","6,413.67","59.02M","0.51%"
"01/02/2025","6,412.28","6,400.46","6,415.38","6,321.29","113.22M","0.55%"
