"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","4.150","4.260","4.280","4.140","499.77K","-2.70%"
"05/29/2025","4.265","4.290","4.300","4.260","467.11K","-1.04%"
"05/28/2025","4.310","4.400","4.540","4.308","3.54M","-5.07%"
"05/27/2025","4.540","4.510","5.444","4.424","2.39M","2.71%"
"05/23/2025","4.420","4.450","4.576","4.370","573.34K","-2.10%"
"05/22/2025","4.515","4.520","4.650","4.427","1.83M","1.01%"
"05/21/2025","4.470","4.630","4.630","4.460","807.93K","-5.30%"
"05/20/2025","4.720","4.525","4.750","4.500","198.46K","4.42%"
"05/19/2025","4.520","4.560","4.590","4.480","605.61K","-1.74%"
"05/16/2025","4.600","4.640","4.660","4.550","1.62M","-14.66%"
"05/15/2025","5.390","5.410","5.410","5.220","314.94K","-0.92%"
"05/14/2025","5.440","5.340","5.440","5.319","131.83K","1.87%"
"05/13/2025","5.340","5.245","5.510","5.230","282.79K","3.59%"
"05/12/2025","5.155","5.250","5.250","5.110","99.46K","-3.10%"
"05/09/2025","5.320","5.200","5.345","5.090","251.49K","0.19%"
"05/08/2025","5.310","5.200","5.330","5.180","220.45K","3.11%"
"05/07/2025","5.150","5.100","5.150","5.070","72.39K","0.98%"
"05/06/2025","5.100","5.130","5.150","4.970","208.36K","-1.35%"
"05/05/2025","5.170","5.200","5.230","5.140","158.61K","0.00%"
"05/02/2025","5.170","5.150","5.190","5.130","65.37K","2.78%"
"05/01/2025","5.030","4.850","5.077","4.850","115.05K","-0.79%"
"04/30/2025","5.070","5.150","5.150","5.050","216.61K","-0.59%"
"04/29/2025","5.100","4.930","5.140","4.930","682.02K","0.99%"
"04/28/2025","5.050","4.820","5.060","4.820","153.03K","1.51%"
"04/25/2025","4.975","4.950","5.150","4.930","133.67K","1.53%"
"04/24/2025","4.900","4.980","4.980","4.830","85.58K","-1.01%"
"04/23/2025","4.950","4.940","5.020","4.900","97.59K","0.00%"
"04/22/2025","4.950","4.790","4.960","4.790","150.62K","2.70%"
"04/21/2025","4.820","4.680","4.990","4.500","89.81K","1.90%"
"04/17/2025","4.730","4.700","4.800","4.700","93.33K","-0.84%"
"04/16/2025","4.770","4.820","4.820","4.720","299.65K","-3.25%"
"04/15/2025","4.930","4.850","4.930","4.770","612.16K","0.82%"
"04/14/2025","4.890","4.790","4.900","4.770","552.30K","2.30%"
"04/11/2025","4.780","4.710","4.800","4.700","96.03K","0.84%"
"04/10/2025","4.740","4.740","4.740","4.570","222.60K","-1.04%"
"04/09/2025","4.790","4.520","4.800","4.510","372.21K","3.23%"
"04/08/2025","4.640","4.910","4.910","4.640","223.15K","-0.64%"
"04/07/2025","4.670","4.680","4.795","4.645","329.64K","-5.66%"
"04/04/2025","4.950","4.880","4.950","4.730","338.89K","-1.39%"
"04/03/2025","5.020","5.025","5.100","4.940","659.24K","0.40%"
"04/02/2025","5.000","5.030","5.030","4.930","218.44K","1.01%"
"04/01/2025","4.950","4.940","5.065","4.940","80.80K","-3.32%"
"03/31/2025","5.120","4.900","5.120","4.860","149.96K","2.27%"
"03/28/2025","5.006","5.030","5.055","4.960","259.70K","-0.27%"
"03/27/2025","5.020","5.090","5.090","4.900","416.56K","-0.20%"
"03/26/2025","5.030","5.000","5.030","4.940","133.02K","2.86%"
"03/25/2025","4.890","5.040","5.040","4.890","107.83K","0.00%"
"03/24/2025","4.890","4.990","4.990","4.890","202.06K","-1.01%"
"03/21/2025","4.940","5.040","5.060","4.930","220.84K","-1.95%"
"03/20/2025","5.038","5.000","5.040","5.000","152.25K","-0.24%"
"03/19/2025","5.050","4.930","5.080","4.930","77.00K","-0.59%"
"03/18/2025","5.080","5.045","5.080","5.010","108.93K","3.89%"
"03/17/2025","4.890","4.920","5.060","4.790","113.30K","2.95%"
"03/14/2025","4.750","4.791","4.950","4.750","82.55K","-2.06%"
"03/13/2025","4.850","4.650","4.850","4.610","166.43K","1.04%"
"03/12/2025","4.800","4.630","4.870","4.630","105.05K","-0.41%"
"03/11/2025","4.820","4.400","4.820","4.400","209.51K","1.47%"
"03/10/2025","4.750","4.900","4.900","4.670","274.47K","-5.38%"
"03/07/2025","5.020","4.800","5.020","4.800","211.19K","2.87%"
"03/06/2025","4.880","4.940","4.940","4.850","129.00K","-1.01%"
"03/05/2025","4.930","4.750","4.970","4.750","237.19K","2.71%"
"03/04/2025","4.800","4.660","4.800","4.490","73.59K","1.05%"
"03/03/2025","4.750","4.750","4.820","4.740","99.46K","0.11%"
"02/28/2025","4.745","4.870","4.870","4.690","3.17M","-3.56%"
"02/27/2025","4.920","4.930","4.930","4.850","179.94K","-0.61%"
"02/26/2025","4.950","4.970","4.970","4.820","557.87K","-0.40%"
"02/25/2025","4.970","4.990","4.990","4.870","356.69K","1.43%"
"02/24/2025","4.900","4.900","4.990","4.870","237.39K","-2.00%"
"02/21/2025","5.000","4.990","5.000","4.920","144.66K","0.20%"
"02/20/2025","4.990","5.050","5.100","4.960","2.61M","-3.67%"
"02/19/2025","5.180","5.150","5.190","5.100","1.72M","-1.71%"
"02/18/2025","5.270","5.180","5.280","5.170","391.60K","2.33%"
"02/14/2025","5.150","4.980","5.200","4.960","409.58K","6.19%"
"02/13/2025","4.850","4.970","4.970","4.710","258.28K","-0.82%"
"02/12/2025","4.890","4.840","4.920","4.840","733.33K","-1.81%"
"02/11/2025","4.980","4.900","4.990","4.900","2.65M","1.43%"
"02/10/2025","4.910","4.860","4.940","4.860","1.91M","1.03%"
"02/07/2025","4.860","4.940","5.040","4.860","3.00M","-1.42%"
"02/06/2025","4.930","4.900","5.030","4.870","1.29M","0.61%"
"02/05/2025","4.900","4.880","4.940","4.810","731.68K","-0.61%"
"02/04/2025","4.930","4.840","4.940","4.830","831.61K","1.86%"
"02/03/2025","4.840","4.800","4.880","4.620","666.36K","-0.82%"
"01/31/2025","4.880","4.890","4.890","4.810","1.05M","1.67%"
"01/30/2025","4.800","4.703","4.840","4.703","1.29M","1.69%"
"01/29/2025","4.720","4.780","4.790","4.700","810.66K","-1.05%"
"01/28/2025","4.770","4.700","4.790","4.690","329.83K","1.49%"
"01/27/2025","4.700","4.690","4.750","4.630","491.82K","1.73%"
"01/24/2025","4.620","4.600","4.630","4.550","78.25K","0.43%"
"01/23/2025","4.600","4.580","4.680","4.570","602.63K","3.72%"
"01/22/2025","4.435","4.350","4.490","4.350","173.33K","3.14%"
"01/21/2025","4.300","4.300","4.340","4.230","370.08K","3.12%"
"01/17/2025","4.170","4.260","4.290","4.170","252.54K","-3.25%"
"01/16/2025","4.310","4.190","4.310","4.190","794.64K","0.23%"
"01/15/2025","4.300","4.180","4.300","4.180","381.43K","3.86%"
"01/14/2025","4.140","4.010","4.180","4.010","1.83M","1.97%"
"01/13/2025","4.060","4.100","4.100","4.010","177.52K","0.74%"
"01/10/2025","4.030","4.290","4.355","4.000","498.09K","-1.47%"
"01/08/2025","4.090","3.950","4.090","3.950","388.45K","2.00%"
"01/07/2025","4.010","4.215","4.220","4.010","418.11K","-0.25%"
"01/06/2025","4.020","3.840","4.150","3.840","482.09K","1.52%"
"01/03/2025","3.960","3.910","4.020","3.880","316.18K","1.54%"
"01/02/2025","3.900","4.000","4.000","3.810","364.37K","2.09%"
