"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","3.510","3.505","3.552","3.504","27.31M","0.37%"
"05/29/2025","3.497","3.490","3.516","3.477","5.95M","0.03%"
"05/28/2025","3.496","3.517","3.526","3.487","4.91M","-0.74%"
"05/27/2025","3.522","3.514","3.522","3.478","6.74M","0.43%"
"05/26/2025","3.507","3.500","3.525","3.493","4.00M","0.20%"
"05/23/2025","3.500","3.488","3.500","3.442","10.22M","0.63%"
"05/22/2025","3.478","3.440","3.478","3.405","14.11M","-0.83%"
"05/21/2025","3.507","3.515","3.530","3.459","7.86M","-0.14%"
"05/20/2025","3.512","3.445","3.522","3.445","13.26M","2.99%"
"05/19/2025","3.410","3.440","3.443","3.345","8.09M","-0.76%"
"05/16/2025","3.436","3.458","3.473","3.421","8.29M","0.41%"
"05/15/2025","3.422","3.410","3.431","3.332","11.22M","1.00%"
"05/14/2025","3.388","3.413","3.426","3.361","10.50M","-0.47%"
"05/13/2025","3.404","3.384","3.553","3.384","17.01M","1.73%"
"05/12/2025","3.346","3.274","3.346","3.202","16.82M","2.51%"
"05/09/2025","3.264","3.281","3.392","3.264","26.44M","2.26%"
"05/08/2025","3.192","3.313","3.324","3.189","14.30M","-3.27%"
"05/07/2025","3.300","3.260","3.300","3.256","10.46M","0.86%"
"05/06/2025","3.272","3.282","3.300","3.250","8.47M","0.21%"
"05/05/2025","3.265","3.226","3.308","3.217","7.76M","1.30%"
"05/02/2025","3.223","3.344","3.364","3.205","27.23M","-7.28%"
"04/30/2025","3.476","3.451","3.498","3.444","22.14M","0.81%"
"04/29/2025","3.448","3.370","3.482","3.370","18.01M","2.34%"
"04/28/2025","3.369","3.371","3.397","3.341","9.10M","0.15%"
"04/25/2025","3.364","3.346","3.390","3.335","10.41M","0.48%"
"04/24/2025","3.348","3.290","3.359","3.289","15.13M","1.92%"
"04/23/2025","3.285","3.348","3.356","3.269","13.32M","-1.05%"
"04/22/2025","3.320","3.277","3.320","3.256","10.31M","1.68%"
"04/17/2025","3.265","3.222","3.279","3.191","5.59M","0.77%"
"04/16/2025","3.240","3.200","3.252","3.157","11.46M","2.02%"
"04/15/2025","3.176","3.100","3.178","3.094","7.71M","3.02%"
"04/14/2025","3.083","3.100","3.115","3.056","11.30M","0.65%"
