"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","14.05","14.02","14.27","13.99","3.95M","0.68%"
"05/29/2025","13.95","14.10","14.15","13.88","1.16M","-0.36%"
"05/28/2025","14.00","13.72","14.02","13.69","1.94M","2.45%"
"05/27/2025","13.66","13.70","13.84","13.66","1.18M","-0.26%"
"05/26/2025","13.70","13.59","13.72","13.58","1.32M","-0.15%"
"05/23/2025","13.72","13.87","13.90","13.57","1.81M","-0.69%"
"05/22/2025","13.81","13.81","13.85","13.70","1.84M","-0.40%"
"05/21/2025","13.87","14.02","14.02","13.87","1.29M","-1.11%"
"05/20/2025","14.02","13.99","14.10","13.89","1.43M","-0.04%"
"05/19/2025","14.03","13.98","14.06","13.84","1.06M","0.07%"
"05/16/2025","14.02","14.19","14.19","13.98","1.22M","-0.36%"
"05/15/2025","14.07","14.02","14.13","13.89","1.73M","-0.99%"
"05/14/2025","14.21","14.43","14.52","14.21","1.60M","-1.29%"
"05/13/2025","14.40","14.28","14.45","14.23","1.14M","0.59%"
"05/12/2025","14.31","14.05","14.47","14.05","1.72M","2.76%"
"05/09/2025","13.93","13.85","14.06","13.81","1.96M","1.31%"
"05/08/2025","13.74","13.77","13.85","13.67","1.48M","0.07%"
"05/07/2025","13.73","13.75","13.81","13.66","1.32M","-0.18%"
"05/06/2025","13.76","13.85","13.87","13.68","1.99M","0.04%"
"05/05/2025","13.76","13.64","13.85","13.45","1.80M","0.47%"
"05/02/2025","13.69","13.85","14.04","13.59","2.19M","0.40%"
"04/30/2025","13.64","13.53","13.79","13.37","2.59M","0.04%"
"04/29/2025","13.63","13.63","13.76","13.46","2.92M","0.55%"
"04/28/2025","13.56","13.78","13.90","13.44","3.07M","-3.01%"
"04/25/2025","13.98","13.80","14.03","13.80","2.56M","1.64%"
"04/24/2025","13.75","13.63","13.81","13.48","2.10M","1.40%"
"04/23/2025","13.56","13.70","13.92","13.47","2.18M","0.11%"
"04/22/2025","13.55","13.37","13.63","13.30","2.20M","0.44%"
"04/17/2025","13.48","13.50","13.59","13.33","1.45M","-0.04%"
"04/16/2025","13.49","13.00","13.49","13.00","2.59M","1.97%"
"04/15/2025","13.23","12.69","13.34","12.69","2.78M","3.97%"
"04/14/2025","12.73","13.19","13.30","12.71","2.82M","0.04%"
"04/11/2025","12.72","12.72","13.03","12.61","2.44M","0.04%"
"04/10/2025","12.72","13.85","13.85","12.72","1.94M","2.42%"
"04/09/2025","12.41","12.61","12.85","12.24","2.47M","-5.98%"
"04/08/2025","13.20","13.50","13.60","13.00","2.27M","0.69%"
"04/07/2025","13.11","13.70","13.90","13.11","3.17M","-8.96%"
"04/04/2025","14.40","15.07","15.10","14.19","2.60M","-5.23%"
"04/03/2025","15.20","15.56","15.94","15.14","2.13M","-5.35%"
"04/02/2025","16.06","16.13","16.27","16.06","939.89K","-1.38%"
"04/01/2025","16.28","16.38","16.40","16.19","779.69K","0.34%"
"03/31/2025","16.23","16.06","16.27","15.97","1.45M","0.56%"
"03/28/2025","16.14","15.97","16.15","15.94","1.27M","0.00%"
"03/27/2025","16.14","15.65","16.14","15.65","1.28M","2.48%"
"03/26/2025","15.75","15.52","15.80","15.51","815.02K","1.42%"
"03/25/2025","15.53","15.52","15.65","15.43","873.43K","0.75%"
"03/24/2025","15.41","15.58","15.65","15.35","592.87K","-0.23%"
"03/21/2025","15.45","15.75","15.92","15.40","2.26M","-2.06%"
"03/20/2025","15.77","15.44","15.78","15.40","1.13M","2.34%"
"03/19/2025","15.41","15.32","15.51","15.29","1.00M","0.46%"
"03/18/2025","15.35","15.20","15.53","15.20","969.98K","1.29%"
"03/17/2025","15.15","15.18","15.24","15.05","1.09M","0.93%"
"03/14/2025","15.01","14.82","15.01","14.68","1.06M","1.49%"
"03/13/2025","14.79","14.75","14.91","14.69","1.06M","0.44%"
"03/12/2025","14.73","14.65","14.77","14.38","1.95M","0.89%"
"03/11/2025","14.60","14.54","14.73","14.47","2.26M","0.48%"
"03/10/2025","14.52","14.86","14.98","14.52","1.63M","-2.39%"
"03/07/2025","14.88","14.82","14.99","14.74","1.99M","0.34%"
"03/06/2025","14.83","15.09","15.09","14.78","2.18M","-0.70%"
"03/05/2025","14.94","15.05","15.27","14.93","2.75M","-0.10%"
"03/04/2025","14.95","15.60","15.77","14.95","2.59M","-6.47%"
"03/03/2025","15.98","15.86","16.29","15.86","1.66M","0.57%"
"02/28/2025","15.90","15.76","15.94","15.65","5.39M","0.57%"
"02/27/2025","15.81","15.98","16.00","15.77","1.57M","-1.62%"
"02/26/2025","16.07","15.95","16.07","15.75","2.19M","0.66%"
