"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","647.49","642.50","649.41","632.78","16.24M","0.38%"
"05/29/2025","645.05","651.65","653.32","639.50","8.88M","0.23%"
"05/28/2025","643.58","642.60","650.88","642.55","9.04M","0.20%"
"05/27/2025","642.32","635.41","643.08","632.75","9.51M","2.43%"
"05/23/2025","627.06","624.00","632.45","622.65","8.45M","-1.49%"
"05/22/2025","636.57","634.05","643.25","630.71","8.23M","0.17%"
"05/21/2025","635.50","631.79","646.61","630.17","11.46M","-0.25%"
"05/20/2025","637.10","636.01","639.35","632.26","6.74M","-0.52%"
"05/19/2025","640.43","628.25","643.00","627.80","9.59M","0.01%"
"05/16/2025","640.34","637.96","640.44","626.15","18.52M","-0.55%"
"05/15/2025","643.88","654.28","657.31","638.58","14.34M","-2.35%"
"05/14/2025","659.36","661.21","662.67","654.31","12.35M","0.51%"
"05/13/2025","656.03","645.54","660.92","642.83","18.57M","2.60%"
"05/12/2025","639.43","630.92","640.39","621.03","21.97M","7.92%"
"05/09/2025","592.49","603.72","606.97","591.71","10.43M","-0.92%"
"05/08/2025","598.01","606.28","611.30","596.62","14.62M","0.20%"
"05/07/2025","596.81","590.36","603.08","586.67","13.16M","1.62%"
"05/06/2025","587.31","592.53","596.03","586.58","10.60M","-2.00%"
"05/05/2025","599.27","591.22","603.21","588.05","13.89M","0.38%"
"05/02/2025","597.02","583.46","604.34","578.33","24.74M","4.34%"
"05/01/2025","572.21","592.08","592.95","570.50","31.16M","4.23%"
