"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","30.90","31.15","31.27","30.90","44.94M","-1.09%"
"05/29/2025","31.24","31.48","31.50","31.05","20.71M","-0.60%"
"05/28/2025","31.43","31.67","31.72","31.43","30.41M","-0.32%"
"05/27/2025","31.53","31.52","31.67","31.36","34.32M","0.73%"
"05/26/2025","31.30","31.46","31.53","31.14","21.19M","-0.32%"
"05/23/2025","31.40","31.09","31.40","30.87","25.71M","0.22%"
"05/22/2025","31.33","31.64","31.65","31.21","42.03M","-1.32%"
"05/21/2025","31.75","32.21","32.39","31.69","28.62M","-1.12%"
"05/20/2025","32.11","32.05","32.41","31.95","33.37M","0.41%"
"05/19/2025","31.98","31.84","32.13","31.70","30.12M","-0.12%"
"05/16/2025","32.02","31.84","32.16","31.66","47.29M","0.47%"
"05/15/2025","31.87","31.70","32.09","31.59","32.26M","-0.13%"
"05/14/2025","31.91","32.00","32.12","31.70","27.99M","-0.68%"
"05/13/2025","32.13","31.77","32.25","31.35","56.02M","1.52%"
"05/12/2025","31.65","31.90","32.17","31.65","53.26M","2.39%"
"05/09/2025","30.91","31.10","31.18","30.64","24.98M","0.65%"
"05/08/2025","30.71","30.59","31.03","30.45","44.57M","1.39%"
"05/07/2025","30.29","30.30","30.30","29.90","34.96M","0.46%"
"05/06/2025","30.15","30.11","30.39","29.96","52.66M","1.65%"
"05/05/2025","29.66","30.57","30.62","29.66","58.79M","-3.73%"
"05/02/2025","30.81","30.20","30.81","29.97","32.88M","2.73%"
"04/30/2025","29.99","30.41","30.58","29.96","52.41M","-1.87%"
"04/29/2025","30.56","30.30","30.81","30.15","32.93M","0.53%"
"04/28/2025","30.40","30.56","30.78","30.25","27.25M","-0.39%"
"04/25/2025","30.52","30.34","30.73","30.20","35.53M","0.30%"
"04/24/2025","30.43","30.81","30.84","30.06","61.48M","-0.46%"
"04/23/2025","30.57","31.35","31.78","30.50","71.31M","-1.13%"
"04/22/2025","30.92","30.80","31.25","30.33","41.45M","0.23%"
"04/17/2025","30.85","30.67","31.18","30.46","65.55M","1.85%"
