"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","5,510.000","5,590.000","5,620.000","5,480.000","86.04K","-1.96%"
"05/29/2025","5,620.000","5,490.000","5,660.000","5,490.000","41.31K","2.00%"
"05/28/2025","5,510.000","5,570.000","5,570.000","5,470.000","60.08K","-1.25%"
"05/27/2025","5,580.000","5,580.000","5,590.000","5,500.000","34.91K","0.72%"
"05/26/2025","5,540.000","5,670.000","5,720.000","5,350.000","33.40K","-0.54%"
"05/23/2025","5,570.000","5,470.000","5,570.000","5,460.000","103.71K","0.36%"
"05/22/2025","5,550.000","5,610.000","5,650.000","5,540.000","41.36K","-0.89%"
"05/21/2025","5,600.000","5,720.000","5,720.000","5,600.000","154.27K","-2.10%"
"05/20/2025","5,720.000","5,680.000","5,740.000","5,670.000","45.96K","-0.35%"
"05/19/2025","5,740.000","5,770.000","5,770.000","5,630.000","31.75K","-0.17%"
"05/16/2025","5,750.000","5,680.000","5,770.000","5,600.000","33.76K","0.35%"
"05/15/2025","5,730.000","5,660.000","5,740.000","5,630.000","80.21K","1.42%"
"05/14/2025","5,650.000","5,700.000","5,710.000","5,620.000","54.73K","-1.05%"
"05/13/2025","5,710.000","5,570.000","5,740.000","5,570.000","215.16K","2.70%"
"05/12/2025","5,560.000","5,530.000","5,580.000","5,500.000","96.96K","2.21%"
"05/09/2025","5,440.000","5,390.000","5,470.000","5,300.000","43.24K","0.93%"
"05/08/2025","5,390.000","5,370.000","5,450.000","5,340.000","129.53K","0.00%"
"05/07/2025","5,390.000","5,620.000","5,620.000","5,350.000","40.60K","-4.60%"
"05/06/2025","5,650.000","5,610.000","5,730.000","5,610.000","37.59K","-0.35%"
"05/05/2025","5,670.000","5,560.000","5,690.000","5,540.000","270.04K","2.16%"
"04/30/2025","5,550.000","5,590.000","5,630.000","5,520.000","34.54K","-2.80%"
"04/29/2025","5,710.000","5,750.000","5,760.000","5,670.000","32.44K","-0.52%"
"04/28/2025","5,740.000","5,690.000","5,740.000","5,590.000","159.94K","1.06%"
"04/25/2025","5,680.000","5,750.000","5,800.000","5,620.000","32.14K","-2.57%"
"04/24/2025","5,830.000","5,750.000","5,940.000","5,740.000","50.69K","3.00%"
"04/23/2025","5,660.000","5,550.000","5,750.000","5,550.000","110.03K","3.66%"
"04/22/2025","5,460.000","5,220.000","5,470.000","5,130.000","107.91K","6.02%"
"04/21/2025","5,150.000","5,280.000","5,280.000","4,925.000","165.31K","-2.28%"
"04/16/2025","5,270.000","5,600.000","5,600.000","5,240.000","35.01K","-6.73%"
"04/15/2025","5,650.000","5,820.000","5,820.000","5,620.000","84.78K","-2.75%"
"04/14/2025","5,810.000","5,980.000","5,980.000","5,630.000","84.70K","-5.07%"
"04/11/2025","6,120.000","6,080.000","6,280.000","5,950.000","84.15K","1.16%"
"04/10/2025","6,050.000","5,940.000","6,140.000","5,900.000","95.13K","0.17%"
"04/09/2025","6,040.000","5,520.000","6,190.000","5,520.000","357.35K","7.09%"
"04/08/2025","5,640.000","6,040.000","6,040.000","5,600.000","217.48K","-5.53%"
"04/07/2025","5,970.000","5,890.000","6,190.000","5,860.000","259.63K","-1.16%"
"04/04/2025","6,040.000","6,130.000","6,130.000","5,890.000","180.50K","-5.77%"
"04/03/2025","6,410.000","6,600.000","6,640.000","6,390.000","142.81K","-2.88%"
"04/01/2025","6,600.000","6,580.000","6,730.000","6,580.000","126.16K","0.76%"
"03/31/2025","6,550.000","6,480.000","6,580.000","6,440.000","155.07K","-0.30%"
"03/28/2025","6,570.000","6,600.000","6,600.000","6,500.000","154.37K","-0.15%"
"03/27/2025","6,580.000","6,510.000","6,600.000","6,500.000","119.98K","0.46%"
